PROVINCIA_CODIGO,PROVINCIA_NOMBRE,CANTON_CODIGO,CANTON_NOMBRE,PARROQUIA_CODIGO,PARROQUIA_NOMBRE,PARROQUIA_ESTADO
7,EL ORO,360,ZARUMA,5,ABANIN,RURAL
13,MANABI,440,PORTOVIEJO,10,ABDON CALDERON,RURAL
1,AZUAY,285,SANTA ISABEL,15,ABDON CALDERON / LA UNION,RURAL
6,CHIMBORAZO,215,ALAUSI,20,ACHUPALLAS,RURAL
15,NAPO,620,TENA,25,AHUANO,RURAL
17,PICHINCHA,60,QUITO,30,ALANGASI,RURAL
5,COTOPAXI,100,LATACUNGA,35,ALAQUEZ,RURAL
6,CHIMBORAZO,200,GUANO,40,SANTA FE DE GALAN,RURAL
6,CHIMBORAZO,200,GUANO,45,SAN JOSE DE CHAZO,RURAL
13,MANABI,440,PORTOVIEJO,50,ALHAJUELA /BAJO GRANDE,RURAL
17,PICHINCHA,70,MEJIA,55,ALOAG,RURAL
17,PICHINCHA,70,MEJIA,60,ALOASI,RURAL
14,MORONA SANTIAGO,590,MORONA,65,ALSHI /9 DE OCTUBRE,RURAL
8,ESMERALDAS,580,SAN LORENZO,70,ALTO TAMBO/GUADAL,RURAL
17,PICHINCHA,85,STO. DGO. DE LOS CLDS,75,ALLURIQUIN,RURAL
17,PICHINCHA,60,QUITO,80,AMAGUANA,RURAL
1,AZUAY,955,SEVILLA DE ORO,85,AMALUZA,RURAL
14,MORONA SANTIAGO,595,GUALAQUIZA,90,AMAZONAS,RURAL
18,TUNGURAHUA,135,AMBATO,95,AMBATILLO,RURAL
10,IMBABURA,30,IBARRA,100,AMBUQUI/CHOTA,RURAL
13,MANABI,455,JIPIJAPA,105,AMERICA /LA CERA,RURAL
8,ESMERALDAS,580,SAN LORENZO,110,ANCON/PALMA REAL,RURAL
9,GUAYAS,405,SALINAS,115,ANCONCITO,RURAL
8,ESMERALDAS,565,ELOY ALFARO,120,ANCHAYACU,RURAL
5,COTOPAXI,105,PUJILI,125,ANGAMARCA,RURAL
10,IMBABURA,30,IBARRA,130,ANGOCHAGUA,RURAL
5,COTOPAXI,110,SALCEDO,135,ANTONIO J. HOLGUIN,RURAL
12,LOS RIOS,525,VINCES,140,ANTONIO SOTOMAYOR,RURAL
10,IMBABURA,40,COTACACHI,145,APUELA,RURAL
12,LOS RIOS,945,BUENA FE,150,PATRICIA PILAR,RURAL
14,MORONA SANTIAGO,615,PALORA,155,ARAPICOS,RURAL
7,EL ORO,860,MARCABELI,160,EL INGENIO,RURAL
17,PICHINCHA,65,CAYAMBE,165,ASCAZUBI,RURAL
2,BOLIVAR,170,CHIMBO,170,ASUNCION,RURAL
1,AZUAY,270,GIRON,175,ASUNCION,RURAL
14,MORONA SANTIAGO,610,SUCUA,180,ASUNCION,RURAL
9,GUAYAS,715,PEDRO CARBO,185,VALLE DE LA VIRGEN,RURAL
18,TUNGURAHUA,135,AMBATO,190,ATAHUALPA /CHIPZALATA,RURAL
17,PICHINCHA,60,QUITO,195,ATAHUALPA /HABASPAMBA,RURAL
8,ESMERALDAS,565,ELOY ALFARO,200,ATAHUALPA/CAMARONES,RURAL
9,GUAYAS,410,SANTA ELENA,205,ATAHUALPA,RURAL
18,TUNGURAHUA,135,AMBATO,210,AUGUSTO N MARTINEZ,RURAL
22,ORELLANA,935,LORETO,215,AVILA,RURAL
13,MANABI,470,SANTA ANA,220,AYACUCHO,RURAL
7,EL ORO,705,ATAHUALPA,225,AYAPAMBA,RURAL
21,SUCUMBIOS,865,GONZALO PIZARRO,230,EL REVENTADOR,RURAL
20,GALAPAGOS,805,SANTA CRUZ,235,BELLAVISTA,RURAL
13,MANABI,485,BOLIVAR,240,MEMBRILLO,RURAL
7,EL ORO,380,EL GUABO,245,LA IBERIA,RURAL
4,CARCHI,10,MONTUFAR,250,PIARTAL,RURAL
7,EL ORO,350,MACHALA,255,EL RETIRO,RURAL
9,GUAYAS,400,DAULE,260,LIMONAL,RURAL
13,MANABI,550,TOSAGUA,265,BACHILLERO,RURAL
11,LOJA,330,PUYANGO,270,EL ARENAL,RURAL
2,BOLIVAR,175,SAN MIGUEL,275,BALZAPAMBA,RURAL
11,LOJA,295,ZAPOTILLO,280,LIMONES,RURAL
1,AZUAY,260,CUENCA,285,BANOS,RURAL
11,LOJA,295,ZAPOTILLO,290,GARZAREAL,RURAL
18,TUNGURAHUA,145,PILLARO,295,BAQUERIZO MORENO,RURAL
7,EL ORO,380,EL GUABO,300,BARBONES,RURAL
17,PICHINCHA,85,STO. DGO. DE LOS CLDS,305,VALLE HERMOSO,RURAL
11,LOJA,305,SARAGURO,310,SUMAYPAMBA,RURAL
5,COTOPAXI,100,LATACUNGA,315,BELISARIO QUEVEDO,RURAL
11,LOJA,340,ESPINDOLA,320,BELLAVISTA,RURAL
7,EL ORO,355,SANTA ROSA,325,BELLAVISTA,RURAL
13,MANABI,460,24 DE MAYO,330,BELLAVISTA,RURAL
18,TUNGURAHUA,140,PELILEO,335,BENITEZ /PACHANLICA,RURAL
14,MORONA SANTIAGO,595,GUALAQUIZA,340,BERMEJOS,RURAL
2,BOLIVAR,175,SAN MIGUEL,345,BILOVAN,RURAL
14,MORONA SANTIAGO,595,GUALAQUIZA,350,BOMBOIZA,RURAL
8,ESMERALDAS,570,MUISNE,355,BOLIVAR,RURAL
11,LOJA,740,QUILANGA,360,FUNDOCHAMBA,RURAL
18,TUNGURAHUA,140,PELILEO,365,BOLIVAR,RURAL
8,ESMERALDAS,565,ELOY ALFARO,370,BORBON,RURAL
7,EL ORO,705,ATAHUALPA,375,SAN JUAN DE CERRO AZUL,RURAL
